id,url,browser,browser_version,engine,engine_version,os,os_version,created
5e5c4d24c7244a001745d6cd,/,Chrome Headless,79.0.3945.0,Blink,79.0.3945.0,Linux,x86_64,2020-03-02T00:02:44.411Z
5e5c7d1bc7244a001745d6de,/blog/complete-guide-to-making-web-pages/,Chrome,80.0.3987.122,Blink,80.0.3987.122,Windows,10,2020-03-02T03:27:23.770Z
5e5c7f45c7244a001745d6df,/blog/ken-burns-hero-image/,Firefox,73.0,Gecko,73.0,Windows,10,2020-03-02T03:36:37.504Z
5e5cf243c7244a001745d726,/,Chrome,80.0.3987.122,Blink,80.0.3987.122,Windows,10,2020-03-02T11:47:15.308Z
5e5cf251c7244a001745d727,/blog/setting-up-a-project/,Chrome,80.0.3987.122,Blink,80.0.3987.122,Windows,10,2020-03-02T11:47:29.926Z
5e5d157fc7244a001745d734,/,Chrome Headless,68.0.3440.106,Blink,68.0.3440.106,Linux,x86_64,2020-03-02T14:17:35.711Z
5e5d347ac7244a001745d776,/blog/dom-intro/,Chrome,80.0.3987.122,Blink,80.0.3987.122,Windows,10,2020-03-02T16:29:46.383Z
5e5d347ac7244a001745d777,/blog/complete-guide-to-making-web-pages/,Chrome,80.0.3987.122,Blink,80.0.3987.122,Windows,10,2020-03-02T16:29:46.571Z
5e5d63a8c7244a001745d7a3,/blog/dom-intro/,Mobile Safari,13.0.5,WebKit,605.1.15,iOS,13.3.1,2020-03-02T19:51:04.202Z
5e5d89f1c7244a001745d7ba,/blog/complete-guide-to-making-web-pages/,Chrome,80.0.3987.122,Blink,80.0.3987.122,Windows,10,2020-03-02T22:34:25.595Z
5e5d89f7c7244a001745d7bb,/blog/dom-intro/,Chrome,80.0.3987.122,Blink,80.0.3987.122,Windows,10,2020-03-02T22:34:31.883Z
