id,url,browser,browser_version,engine,engine_version,os,os_version,created
60af109756046d0015d5bbc0,/blog/diy-analytics-netlify-functions/,Safari,14.0.3,WebKit,605.1.15,Mac OS,10.15.6,2021-05-27T03:23:03.593Z
60af05a056046d0015d5bb58,/,Safari,14.0.3,WebKit,605.1.15,Mac OS,10.15.6,2021-05-27T02:36:16.741Z
60af008a56046d0015d5bb17,/blog/diy-analytics-netlify-functions/,Firefox,88.0,Gecko,88.0,Mac OS,10.15,2021-05-27T02:14:34.704Z
60aee80356046d0015d5ba36,/,Chrome,86.0.4240.0,Blink,86.0.4240.0,Linux,x86_64,2021-05-27T00:29:55.026Z
60aed55d56046d0015d5b96d,/blog/make-your-terminal-nicer/,Safari,14.1.1,WebKit,605.1.15,Mac OS,10.15.7,2021-05-26T23:10:21.039Z
60aea03531eed8001592826e,/blog/make-your-terminal-nicer/,Safari,14.1,WebKit,605.1.15,Mac OS,10.15.7,2021-05-26T19:23:33.353Z
60ae8a3e31eed8001592819d,/blog/ken-burns-hero-image/,Chrome,90.0.4430.212,Blink,90.0.4430.212,Windows,10,2021-05-26T17:49:50.118Z
60ae7dd931eed8001592811e,/blog/how-make-git-hooks/,Chrome,90.0.4430.212,Blink,90.0.4430.212,Mac OS,10.15.7,2021-05-26T16:56:57.170Z
60ae3ee631eed80015927dcf,/blog/we-dont-need-servers/,Chrome,91.0.4472.77,Blink,91.0.4472.77,Windows,10,2021-05-26T12:28:22.708Z
60ae2d9531eed80015927ccd,/,WebKit,534,WebKit,534,Windows,7,2021-05-26T11:14:29.190Z
60ade4cf31eed8001592791b,/blog/how-make-git-hooks/,Chrome,90.0.4430.212,Blink,90.0.4430.212,Linux,x86_64,2021-05-26T06:03:59.151Z
60adbf3231eed80015927785,/,Chrome,86.0.4240.0,Blink,86.0.4240.0,Linux,x86_64,2021-05-26T03:23:30.146Z
60adb50831eed80015927722,/blog/diy-analytics-netlify-functions/,Chrome,90.0.4430.212,Blink,90.0.4430.212,Mac OS,10.14.6,2021-05-26T02:40:08.526Z
60ad962231eed800159274ed,/,Chrome,86.0.4240.0,Blink,86.0.4240.0,Linux,x86_64,2021-05-26T00:28:18.407Z
