id,url,browser,browser_version,engine,engine_version,os,os_version,created
5e6ec2451fbfca0017ae7950,/,Chrome Headless,79.0.3945.0,Blink,79.0.3945.0,Linux,x86_64,2020-03-16T00:03:17.726Z
5e6f3a971fbfca0017ae7a18,/blog/ken-burns-hero-image/,Chrome,80.0.3987.132,Blink,80.0.3987.132,Mac OS,10.14.5,2020-03-16T08:36:39.929Z
5e6f4c4a1fbfca0017ae7aa0,/blog/pitfalls-of-async-functions/,Chrome,80.0.3987.132,Blink,80.0.3987.132,Mac OS,10.13.6,2020-03-16T09:52:10.173Z
5e6f72211fbfca0017ae7b46,/blog/gatsby-future/,Safari,13.0.5,WebKit,605.1.15,Mac OS,10.14.6,2020-03-16T12:33:37.526Z
5e6f9ed91fbfca0017ae7c54,/blog/dom-intro/,Chrome,80.0.3987.132,Blink,80.0.3987.132,Windows,10,2020-03-16T15:44:25.535Z
5e6fa4c51fbfca0017ae7c63,/,Chrome,80.0.3987.122,Blink,80.0.3987.122,Mac OS,10.12.6,2020-03-16T16:09:41.836Z
5e6fa4d31fbfca0017ae7c64,/blog/pitfalls-of-async-functions/,Chrome,80.0.3987.122,Blink,80.0.3987.122,Mac OS,10.12.6,2020-03-16T16:09:55.421Z
5e6fa4d41fbfca0017ae7c65,/cv/,Chrome,80.0.3987.122,Blink,80.0.3987.122,Mac OS,10.12.6,2020-03-16T16:09:56.392Z
5e6fc9f61fbfca0017ae7cfa,/blog/complete-guide-to-making-web-pages/,Chrome,80.0.3987.95,WebKit,605.1.15,iOS,13.3,2020-03-16T18:48:22.212Z
