id,url,browser,browser_version,engine,engine_version,os,os_version,created
6094942a7bf6580015f617ad,/blog/make-your-terminal-nicer/,Mobile Safari,14.0.3,WebKit,605.1.15,iOS,14.4,2021-05-07T01:13:14.619Z
609485187bf6580015f61712,/,Chrome,86.0.4240.0,Blink,86.0.4240.0,Linux,x86_64,2021-05-07T00:08:56.637Z
609469a07bf6580015f615f9,/blog/better-native-form-validation/,Chrome,90.0.4430.93,Blink,90.0.4430.93,Windows,8.1,2021-05-06T22:11:44.049Z
60942e27c52e8a00152b2b9a,/blog/diy-analytics-netlify-functions/,Chrome,90.0.4430.91,Blink,90.0.4430.91,Android,10,2021-05-06T17:57:59.390Z
60942c8dc52e8a00152b2b87,/,Firefox,83.0,Gecko,83.0,Linux,x86_64,2021-05-06T17:51:09.582Z
60942c02c52e8a00152b2b76,/blog/make-your-terminal-nicer/,Chrome,90.0.4430.93,Blink,90.0.4430.93,Mac OS,10.12.6,2021-05-06T17:48:50.190Z
60942190c52e8a00152b2b23,/blog/make-your-terminal-nicer/,Edge,90.0.818.51,Blink,90.0.4430.93,Mac OS,10.15.7,2021-05-06T17:04:16.361Z
6094218cc52e8a00152b2b22,/,Edge,90.0.818.51,Blink,90.0.4430.93,Mac OS,10.15.7,2021-05-06T17:04:12.441Z
6093e42ec52e8a00152b2836,/blog/make-your-terminal-nicer/,Chrome,90.0.4430.93,Blink,90.0.4430.93,Mac OS,10.15.7,2021-05-06T12:42:22.954Z
6093940fc52e8a00152b2437,/blog/better-native-form-validation/,Firefox,88.0,Gecko,88.0,Ubuntu,,2021-05-06T07:00:31.191Z
60935668c52e8a00152b21b5,/,Chrome,86.0.4240.0,Blink,86.0.4240.0,Linux,x86_64,2021-05-06T02:37:28.688Z
609333a6c52e8a00152b2060,/,Chrome,86.0.4240.0,Blink,86.0.4240.0,Linux,x86_64,2021-05-06T00:09:10.659Z
