id,url,browser,browser_version,engine,engine_version,os,os_version,created
602323a904682e00150a80bf,/,Chrome,86.0.4240.0,Blink,86.0.4240.0,Linux,x86_64,2021-02-10T00:07:05.612Z
6022f1e2a45caf0015560e9c,/,Firefox,85.0,Gecko,85.0,Mac OS,10.16,2021-02-09T20:34:42.514Z
6022e975a45caf0015560e26,/blog/complete-guide-to-making-web-pages/,Chrome,88.0.4324.146,Blink,88.0.4324.146,Windows,10,2021-02-09T19:58:45.114Z
6022d6cca45caf0015560ce7,/blog/make-your-terminal-nicer/,Firefox,85.0,Gecko,85.0,Mac OS,10.16,2021-02-09T18:39:08.424Z
6022d582a45caf0015560cdc,/blog/we-dont-need-servers/,Chrome,88.0.4324.150,Blink,88.0.4324.150,Linux,x86_64,2021-02-09T18:33:38.908Z
6022ce37a45caf0015560c66,/blog/complete-guide-to-making-web-pages/,Chrome,88.0.4324.146,Blink,88.0.4324.146,Mac OS,10.15.7,2021-02-09T18:02:31.009Z
6022beafa45caf0015560b33,/blog/complete-guide-to-making-web-pages/,Chrome,88.0.4324.150,Blink,88.0.4324.150,Mac OS,11.0.1,2021-02-09T16:56:15.293Z
60229e4da45caf0015560894,/blog/ken-burns-hero-image/,Safari,14.0.3,WebKit,605.1.15,Mac OS,10.15.7,2021-02-09T14:38:05.748Z
60229470a45caf00155607cf,/,Chrome,88.0.4324.150,Blink,88.0.4324.150,Mac OS,11.2.0,2021-02-09T13:56:00.152Z
60227c20a45caf001556062b,/blog/dom-intro/,Chrome,88.0.4324.96,Blink,88.0.4324.96,Mac OS,11.2.0,2021-02-09T12:12:16.065Z
6022771ca45caf00155605b6,/blog/complete-guide-to-making-web-pages/,Chrome,88.0.4324.96,Blink,88.0.4324.96,Mac OS,11.2.0,2021-02-09T11:50:52.920Z
6021f055a45caf001555fcd7,/,Chrome,86.0.4240.0,Blink,86.0.4240.0,Linux,x86_64,2021-02-09T02:15:49.086Z
6021d22ea45caf001555fab2,/,Chrome,86.0.4240.0,Blink,86.0.4240.0,Linux,x86_64,2021-02-09T00:07:10.699Z
