id,url,browser,browser_version,engine,engine_version,os,os_version,created
5fd6af30a5ca5400177e359a,/blog/diy-analytics-netlify-functions/,Safari,13.1.2,WebKit,605.1.15,Mac OS,10.15.6,2020-12-14T00:17:52.901Z
5fd6acfba5ca5400177e358b,/,Chrome,86.0.4240.0,Blink,86.0.4240.0,Linux,x86_64,2020-12-14T00:08:27.413Z
5fd66e15a5ca5400177e316f,/,Chrome,87.0.4280.88,Blink,87.0.4280.88,Mac OS,10.15.7,2020-12-13T19:40:05.836Z
5fd66e11a5ca5400177e316d,/blog/responsive-css-for-beginners/,Chrome,87.0.4280.88,Blink,87.0.4280.88,Mac OS,10.15.7,2020-12-13T19:40:01.338Z
5fd66588a5ca5400177e310a,/blog/flicker-avatar-animation/,Chrome,87.0.4280.88,Blink,87.0.4280.88,Windows,10,2020-12-13T19:03:36.609Z
5fd65351f51bbd00178850c6,/blog/ken-burns-hero-image/,Chrome,87.0.4280.88,Blink,87.0.4280.88,Windows,10,2020-12-13T17:45:53.486Z
5fd63b70f51bbd0017884f1e,/blog/diy-analytics-netlify-functions/,Safari,14.0.1,WebKit,605.1.15,Mac OS,10.15.7,2020-12-13T16:04:00.615Z
5fd630b5f51bbd0017884e3e,/blog/diy-analytics-netlify-functions/,Safari,14.0.1,WebKit,605.1.15,Mac OS,10.15.7,2020-12-13T15:18:13.807Z
5fd605eaf51bbd0017884ae2,/blog/diy-analytics-netlify-functions/,Safari,14.0.1,WebKit,605.1.15,Mac OS,10.15.7,2020-12-13T12:15:38.963Z
5fd60422f51bbd0017884ac4,/blog/diy-analytics-netlify-functions/,WebKit,605.1.15,WebKit,605.1.15,Mac OS,10.15.7,2020-12-13T12:08:02.918Z
5fd60420f51bbd0017884ac3,/blog/diy-analytics-netlify-functions/,Safari,14.0.1,WebKit,605.1.15,Mac OS,10.15.7,2020-12-13T12:08:00.799Z
5fd6002af51bbd0017884a67,/blog/responsive-css-for-beginners/,Edge,87.0.664.60,Blink,87.0.4280.88,Windows,10,2020-12-13T11:51:06.426Z
5fd60025f51bbd0017884a66,/,Safari,14.0.1,WebKit,605.1.15,Mac OS,10.15.7,2020-12-13T11:51:01.847Z
5fd5ff3df51bbd0017884a43,/blog/,Safari,14.0.1,WebKit,605.1.15,Mac OS,10.15.7,2020-12-13T11:47:09.865Z
5fd5ff30f51bbd0017884a42,/cv/,Safari,14.0.1,WebKit,605.1.15,Mac OS,10.15.7,2020-12-13T11:46:56.833Z
5fd5f9a5f51bbd00178849f9,/blog/diy-analytics-netlify-functions/,Safari,14.0.1,WebKit,605.1.15,Mac OS,10.15.7,2020-12-13T11:23:17.637Z
5fd57a67f51bbd001788411d,/,Chrome,86.0.4240.0,Blink,86.0.4240.0,Linux,x86_64,2020-12-13T02:20:23.004Z
