id,url,browser,browser_version,engine,engine_version,os,os_version,created
5e4dccae1d4261001761c394,/,Chrome Headless,79.0.3945.0,Blink,79.0.3945.0,Linux,x86_64,2020-02-20T00:02:54.444Z
5e4e806b2a2f3b00179cd2b4,/,Firefox,73.0,Gecko,73.0,Mac OS,10.15,2020-02-20T12:49:47.338Z
5e4e80782a2f3b00179cd2b5,/blog/setting-up-a-project/,Firefox,73.0,Gecko,73.0,Mac OS,10.15,2020-02-20T12:50:00.900Z
5e4e80852a2f3b00179cd2b6,/,Firefox,73.0,Gecko,73.0,Mac OS,10.15,2020-02-20T12:50:13.895Z
5e4e808c2a2f3b00179cd2b7,/cv/,Firefox,73.0,Gecko,73.0,Mac OS,10.15,2020-02-20T12:50:20.240Z
5e4e80b82a2f3b00179cd2b8,/blog/,Firefox,73.0,Gecko,73.0,Mac OS,10.15,2020-02-20T12:51:04.850Z
5e4e80c52a2f3b00179cd2b9,/blog/gatsby-future/,Firefox,73.0,Gecko,73.0,Mac OS,10.15,2020-02-20T12:51:17.278Z
5e4ebe542a2f3b00179cd2f1,/blog/gatsby-future/,Chrome,80.0.3987.99,Blink,80.0.3987.99,Android,9,2020-02-20T17:13:56.633Z
5e4f06762a2f3b00179cd2fd,/blog/complete-guide-to-making-web-pages/,Chrome,80.0.3987.95,WebKit,605.1.15,iOS,13.3,2020-02-20T22:21:42.997Z
5e4f0cfa2a2f3b00179cd2fe,/blog/complete-guide-to-making-web-pages/,Firefox,74.0,Gecko,74.0,Mac OS,10.15,2020-02-20T22:49:30.385Z
5e4f0d452a2f3b00179cd2ff,/blog/complete-guide-to-making-web-pages/,Firefox,74.0,Gecko,74.0,Mac OS,10.15,2020-02-20T22:50:45.725Z
