id,url,browser,browser_version,engine,engine_version,os,os_version,created
5f9dbefeabd5b40017a9ab8f,/blog/diy-analytics-netlify-functions/,Chrome,85.0.4183.83,Blink,85.0.4183.83,Linux,x86_64,2020-10-31T19:46:06.113Z
5f9d8b56abd5b40017a9a78b,/blog/,Chrome,86.0.4240.111,Blink,86.0.4240.111,Mac OS,10.15.7,2020-10-31T16:05:42.720Z
5f9d8afaabd5b40017a9a780,/blog/first-class-functions/,Chrome,86.0.4240.111,Blink,86.0.4240.111,Mac OS,10.15.7,2020-10-31T16:04:10.569Z
5f9d8af9abd5b40017a9a77f,/blog/dom-intro/,Chrome,86.0.4240.111,Blink,86.0.4240.111,Mac OS,10.15.7,2020-10-31T16:04:09.865Z
5f9d5176abd5b40017a9a2f1,/,Chrome,86.0.4240.111,Blink,86.0.4240.111,Linux,x86_64,2020-10-31T11:58:46.829Z
5f9d297babd5b40017a9a015,/blog/diy-analytics-netlify-functions/,Edge,86.0.622.58,Blink,86.0.4240.111,Windows,10,2020-10-31T09:08:11.803Z
5f9d10afabd5b40017a99e17,/,Edge,86.0.622.56,Blink,86.0.4240.111,Windows,10,2020-10-31T07:22:23.953Z
5f9d0ee2abd5b40017a99df7,/blog/diy-analytics-netlify-functions/,Edge,86.0.622.56,Blink,86.0.4240.111,Windows,10,2020-10-31T07:14:42.684Z
5f9cde3a4626890017f0caef,/blog/we-dont-need-servers/,Chrome,86.0.4240.111,Blink,86.0.4240.111,Windows,10,2020-10-31T03:47:06.944Z
5f9cd20e4626890017f0ca0d,/blog/diy-analytics-netlify-functions/,Chrome,86.0.4240.111,Blink,86.0.4240.111,Windows,8.1,2020-10-31T02:55:10.621Z
