id,url,browser,browser_version,engine,engine_version,os,os_version,created
5fe28beffee8aa001755b450,/,Chrome,86.0.4240.0,Blink,86.0.4240.0,Linux,x86_64,2020-12-23T00:14:39.039Z
5fe27ae5fee8aa001755b31c,/blog/ken-burns-hero-image/,Firefox,84.0,Gecko,84.0,Windows,10,2020-12-22T23:01:57.607Z
5fe26c7bfee8aa001755b24d,/,Chrome,87.0.4280.77,WebKit,605.1.15,iOS,14.2,2020-12-22T22:00:27.489Z
5fe23ea43e2e790017b73cba,/cv/,Safari,14.0,WebKit,605.1.15,Mac OS,10.15.7,2020-12-22T18:44:52.427Z
5fe23cb63e2e790017b73c96,/blog/ken-burns-hero-image/,Firefox,84.0,Gecko,84.0,Windows,10,2020-12-22T18:36:38.086Z
5fe1fa243e2e790017b737f6,/,Chrome,86.0.4240.0,Blink,86.0.4240.0,Linux,x86_64,2020-12-22T13:52:36.208Z
5fe1f4af3e2e790017b73777,/,Edge,89.0.731.0,Blink,89.0.4346.0,Mac OS,11.1.0,2020-12-22T13:29:19.832Z
5fe1d0d23e2e790017b7351b,/blog/responsive-css-for-beginners/,Chrome,87.0.4280.88,Blink,87.0.4280.88,Windows,10,2020-12-22T10:56:18.707Z
5fe1bdc63e2e790017b73385,/blog/responsive-css-for-beginners/,Chrome,87.0.4280.88,Blink,87.0.4280.88,Mac OS,11.1.0,2020-12-22T09:35:02.271Z
5fe1ab903e2e790017b73270,/blog/diy-analytics-netlify-functions/,Firefox,84.0,Gecko,84.0,Android,9,2020-12-22T08:17:20.352Z
5fe15cd13e2e790017b72d02,/blog/we-dont-need-servers/,Chrome,87.0.4280.88,Blink,87.0.4280.88,Windows,10,2020-12-22T02:41:21.739Z
5fe15ba33e2e790017b72cde,/,Chrome,86.0.4240.0,Blink,86.0.4240.0,Linux,x86_64,2020-12-22T02:36:19.501Z
5fe13a043e2e790017b72a8d,/,Chrome,86.0.4240.0,Blink,86.0.4240.0,Linux,x86_64,2020-12-22T00:12:52.693Z
