id,url,browser,browser_version,engine,engine_version,os,os_version,created
5e8d1484044b35001730a453,/,Chrome Headless,79.0.3945.0,Blink,79.0.3945.0,Linux,x86_64,2020-04-08T00:02:12.357Z
5e8d65af77f3380017186807,/,Chrome,73.0.3683.86,Blink,73.0.3683.86,Mac OS,10.14.1,2020-04-08T05:48:31.396Z
5e8d65b677f3380017186808,/blog/,Chrome,73.0.3683.86,Blink,73.0.3683.86,Mac OS,10.14.1,2020-04-08T05:48:38.133Z
5e8d65b677f3380017186809,/cv/,Chrome,73.0.3683.86,Blink,73.0.3683.86,Mac OS,10.14.1,2020-04-08T05:48:38.621Z
5e8df38477f33800171872ab,/blog/schedule-netlify-github-actions/,Chrome,84.0.4107.0,Blink,84.0.4107.0,Mac OS,10.14.6,2020-04-08T15:53:40.983Z
5e8e5eeb77f33800171873d4,/,Firefox,57.0,Gecko,57.0,Windows,10,2020-04-08T23:31:55.429Z
