id,url,browser,browser_version,engine,engine_version,os,os_version,created
602f12ccfe529400155601e8,/blog/diy-analytics-netlify-functions/,Chrome,88.0.4324.182,Blink,88.0.4324.182,Mac OS,11.2.1,2021-02-19T01:22:20.663Z
602f123cfe529400155601db,/,Chrome,88.0.4324.182,Blink,88.0.4324.182,Mac OS,11.2.1,2021-02-19T01:19:56.731Z
602f1171fe529400155601b5,/blog/diy-analytics-netlify-functions/,Chrome,88.0.4324.182,Blink,88.0.4324.182,Mac OS,11.2.1,2021-02-19T01:16:33.807Z
602f08eafe52940015560122,/blog/diy-analytics-netlify-functions/,Firefox,85.0,Gecko,85.0,Windows,10,2021-02-19T00:40:10.117Z
602eedfcfe5294001555fe50,/blog/make-your-terminal-nicer/,Chrome,88.0.4324.150,Blink,88.0.4324.150,Mac OS,11.2.1,2021-02-18T22:45:16.630Z
602ee23bfe5294001555fd0d,/,Mobile Safari,14.0.3,WebKit,605.1.15,iOS,14.4,2021-02-18T21:55:07.884Z
602ea355fe5294001555f7b1,/blog/we-dont-need-servers/,Chrome,88.0.4324.150,Blink,88.0.4324.150,Windows,10,2021-02-18T17:26:45.881Z
602e98defe5294001555f718,/,Firefox,85.0,Gecko,85.0,Mac OS,10.14,2021-02-18T16:42:06.552Z
602e98d3fe5294001555f717,/cv/,Firefox,85.0,Gecko,85.0,Mac OS,10.14,2021-02-18T16:41:55.518Z
602e98ccfe5294001555f716,/blog/,Firefox,85.0,Gecko,85.0,Mac OS,10.14,2021-02-18T16:41:48.469Z
602e985bfe5294001555f712,/blog/how-make-git-hooks/,Firefox,85.0,Gecko,85.0,Mac OS,10.14,2021-02-18T16:39:55.574Z
602e8ea6fe5294001555f613,/blog/complete-guide-to-making-web-pages/,Chrome,88.0.4324.150,Blink,88.0.4324.150,Mac OS,10.15.7,2021-02-18T15:58:30.173Z
602e0564fe5294001555ec00,/blog/we-dont-need-servers/,Firefox,85.0,Gecko,85.0,Windows,10,2021-02-18T06:12:52.463Z
602dce1e58f7330015f6e68d,/,Chrome,86.0.4240.0,Blink,86.0.4240.0,Linux,x86_64,2021-02-18T02:17:02.829Z
602dc0e858f7330015f6e5e0,/blog/we-dont-need-servers/,Chrome,88.0.4324.150,Blink,88.0.4324.150,Mac OS,11.2.1,2021-02-18T01:20:40.297Z
602db94a58f7330015f6e547,/blog/we-dont-need-servers/,Chrome,88.0.4324.150,Blink,88.0.4324.150,Mac OS,11.2.1,2021-02-18T00:48:10.871Z
602dafce58f7330015f6e4a5,/,Chrome,86.0.4240.0,Blink,86.0.4240.0,Linux,x86_64,2021-02-18T00:07:42.829Z
