id,url,browser,browser_version,engine,engine_version,os,os_version,created
602dc0e858f7330015f6e5e0,/blog/we-dont-need-servers/,Chrome,88.0.4324.150,Blink,88.0.4324.150,Mac OS,11.2.1,2021-02-18T01:20:40.297Z
602db94a58f7330015f6e547,/blog/we-dont-need-servers/,Chrome,88.0.4324.150,Blink,88.0.4324.150,Mac OS,11.2.1,2021-02-18T00:48:10.871Z
602dafce58f7330015f6e4a5,/,Chrome,86.0.4240.0,Blink,86.0.4240.0,Linux,x86_64,2021-02-18T00:07:42.829Z
602d993158f7330015f6e33a,/blog/first-class-functions/,Chrome,88.0.4324.96,Blink,88.0.4324.96,Mac OS,11.0.1,2021-02-17T22:31:13.709Z
602d992958f7330015f6e339,/blog/dom-intro/,Chrome,88.0.4324.96,Blink,88.0.4324.96,Mac OS,11.0.1,2021-02-17T22:31:05.793Z
602d729e58f7330015f6e0cb,/,Firefox,85.0,Gecko,85.0,Windows,10,2021-02-17T19:46:38.254Z
602d462c58f7330015f6ddef,/,Chrome,88.0.4324.150,Blink,88.0.4324.150,Mac OS,11.0.1,2021-02-17T16:37:00.690Z
602d462b58f7330015f6ddee,/blog/,Chrome,88.0.4324.150,Blink,88.0.4324.150,Mac OS,11.0.1,2021-02-17T16:36:59.845Z
602d462658f7330015f6dded,/cv/,Chrome,88.0.4324.150,Blink,88.0.4324.150,Mac OS,11.0.1,2021-02-17T16:36:54.643Z
602d462558f7330015f6ddec,/blog/,Chrome,88.0.4324.150,Blink,88.0.4324.150,Mac OS,11.0.1,2021-02-17T16:36:53.083Z
602d461d58f7330015f6ddeb,/,Chrome,88.0.4324.150,Blink,88.0.4324.150,Mac OS,11.0.1,2021-02-17T16:36:45.354Z
602d460b58f7330015f6ddea,/blog/flicker-avatar-animation/,Chrome,88.0.4324.150,Blink,88.0.4324.150,Mac OS,11.0.1,2021-02-17T16:36:27.231Z
602d35c258f7330015f6dcc0,/cv/,Chrome,88.0.4324.150,Blink,88.0.4324.150,Windows,10,2021-02-17T15:26:58.220Z
602d34e358f7330015f6dca6,/blog/diy-analytics-netlify-functions/,Chrome,88.0.4324.150,Blink,88.0.4324.150,Windows,10,2021-02-17T15:23:15.906Z
602d0f6958f7330015f6d983,/cv/,Chrome,88.0.4324.150,Blink,88.0.4324.150,Windows,10,2021-02-17T12:43:21.468Z
602c7c3158f7330015f6ce92,/,Chrome,86.0.4240.0,Blink,86.0.4240.0,Linux,x86_64,2021-02-17T02:15:13.835Z
602c5e625aea4d0015ec18f8,/,Chrome,36.0.1985.143,Blink,36.0.1985.143,Windows,7,2021-02-17T00:08:02.664Z
602c5e345aea4d0015ec18ee,/,Chrome,86.0.4240.0,Blink,86.0.4240.0,Linux,x86_64,2021-02-17T00:07:16.527Z
