id,url,browser,browser_version,engine,engine_version,os,os_version,created
5fab25aa7b86a40017f734af,/cv/,Chrome,86.0.4240.183,Blink,86.0.4240.183,Mac OS,10.15.6,2020-11-10T23:43:38.480Z
5fab25a47b86a40017f734ae,/,Chrome,86.0.4240.183,Blink,86.0.4240.183,Mac OS,10.15.6,2020-11-10T23:43:32.446Z
5faaf9747b86a40017f73151,/blog/we-dont-need-servers/,Firefox,82.0,Gecko,82.0,Mac OS,10.15,2020-11-10T20:35:00.140Z
5faabd557b86a40017f72bc0,/blog/we-dont-need-servers/,Chrome,86.0.4240.185,Blink,86.0.4240.185,Android,10,2020-11-10T16:18:29.557Z
5faab66f7b86a40017f72a6b,/blog/ken-burns-hero-image/,Safari,14.0,WebKit,605.1.15,Mac OS,10.14.6,2020-11-10T15:49:03.830Z
5faaad7c7b86a40017f72951,/blog/we-dont-need-servers/,Chrome,86.0.4240.183,Blink,86.0.4240.183,Windows,10,2020-11-10T15:10:52.418Z
5faa6c9b42d5db0017c8aae8,/blog/ken-burns-hero-image/,Chrome,86.0.4240.183,Blink,86.0.4240.183,Windows,10,2020-11-10T10:34:03.986Z
5fa9d98b42d5db0017c89f64,/,Chrome,86.0.4240.0,Blink,86.0.4240.0,Linux,x86_64,2020-11-10T00:06:35.511Z
