id,url,browser,browser_version,engine,engine_version,os,os_version,created
5ff667c359a6df0017887c6a,/blog/better-native-form-validation/,Chrome,87.0.4280.88,Blink,87.0.4280.88,Mac OS,10.15.3,2021-01-07T01:45:39.732Z
5ff654955d6b2b00170550a5,/,Chrome,86.0.4240.0,Blink,86.0.4240.0,Linux,x86_64,2021-01-07T00:23:49.558Z
5ff64e9b5d6b2b0017055053,/cv/,Firefox,84.0,Gecko,84.0,Windows,10,2021-01-06T23:58:19.516Z
5ff64e405d6b2b0017055051,/blog/we-dont-need-servers/,Firefox,84.0,Gecko,84.0,Windows,10,2021-01-06T23:56:48.152Z
5ff64d4c5d6b2b0017055049,/cv/,Safari,14.0.1,WebKit,605.1.15,Mac OS,10.15.7,2021-01-06T23:52:44.987Z
5ff64d125d6b2b0017055048,/,Safari,14.0.1,WebKit,605.1.15,Mac OS,10.15.7,2021-01-06T23:51:46.420Z
5ff64cfc5d6b2b0017055047,/,Safari,14.0.1,WebKit,605.1.15,Mac OS,10.15.7,2021-01-06T23:51:24.425Z
5ff6282c5d6b2b0017054dd1,/blog/better-native-form-validation/,Chrome,87.0.4280.88,Blink,87.0.4280.88,Windows,8.1,2021-01-06T21:14:20.071Z
5ff60a1f5d6b2b0017054b47,/cv/,Firefox,84.0,Gecko,84.0,Mac OS,10.15,2021-01-06T19:06:07.313Z
5ff60a1d5d6b2b0017054b46,/,Firefox,84.0,Gecko,84.0,Mac OS,10.15,2021-01-06T19:06:05.478Z
5ff5a29b5d6b2b001705448a,/blog/minimum-viable-graphql-client/,Chrome,87.0.4280.66,Blink,87.0.4280.66,Linux,x86_64,2021-01-06T11:44:27.405Z
5ff5a2385d6b2b0017054486,/blog/minimum-viable-graphql-concepts/,Chrome,87.0.4280.66,Blink,87.0.4280.66,Linux,x86_64,2021-01-06T11:42:48.708Z
5ff57f765d6b2b00170541ba,/blog/gatsby-future/,Chrome,87.0.4280.88,Blink,87.0.4280.88,Mac OS,10.15.7,2021-01-06T09:14:30.179Z
5ff55c425d6b2b0017053faa,/,,,,,,,2021-01-06T06:44:18.610Z
5ff55c275d6b2b0017053fa9,/blog/diy-analytics-netlify-functions/,Chrome,87.0.4280.88,Blink,87.0.4280.88,Mac OS,11.1.0,2021-01-06T06:43:51.570Z
5ff5252f5d6b2b0017053bd8,/,Chrome,86.0.4240.0,Blink,86.0.4240.0,Linux,x86_64,2021-01-06T02:49:19.642Z
5ff5023cebc9d0001754018c,/,Chrome,86.0.4240.0,Blink,86.0.4240.0,Linux,x86_64,2021-01-06T00:20:12.670Z
