id,url,browser,browser_version,engine,engine_version,os,os_version,created
5e4b630204dcf90017a94cd0,/blog/ken-burns-hero-image/,Chrome,79.0.3945.130,Blink,79.0.3945.130,Mac OS,10.14.6,2020-02-18T04:07:30.553Z
5e4c01d904dcf90017a94d18,/blog/complete-guide-to-making-web-pages/,Chrome,80.0.3987.106,Blink,80.0.3987.106,Windows,7,2020-02-18T15:25:13.708Z
5e4c057c04dcf90017a94d19,/blog/react-ui-testing/,Chrome,80.0.3987.106,Blink,80.0.3987.106,Windows,10,2020-02-18T15:40:44.848Z
5e4c369904dcf90017a94d2b,/,Chrome,79.0.3945.130,Blink,79.0.3945.130,Mac OS,10.15.3,2020-02-18T19:10:17.277Z
5e4c36a304dcf90017a94d2c,/,Chrome,79.0.3945.130,Blink,79.0.3945.130,Mac OS,10.15.3,2020-02-18T19:10:27.499Z
5e4c36a604dcf90017a94d2d,/cv/,Chrome,79.0.3945.130,Blink,79.0.3945.130,Mac OS,10.15.3,2020-02-18T19:10:30.431Z
5e4c3d5b04dcf90017a94d2f,/blog/gatsby-future/,Chrome,79.0.3945.88,Blink,79.0.3945.88,Linux,x86_64,2020-02-18T19:39:07.928Z
5e4c3d6504dcf90017a94d30,/,Chrome,79.0.3945.88,Blink,79.0.3945.88,Linux,x86_64,2020-02-18T19:39:17.802Z
5e4c3d6c04dcf90017a94d31,/blog/,Chrome,79.0.3945.88,Blink,79.0.3945.88,Linux,x86_64,2020-02-18T19:39:24.350Z
5e4c3d8e04dcf90017a94d32,/,Chrome,79.0.3945.88,Blink,79.0.3945.88,Linux,x86_64,2020-02-18T19:39:58.802Z
5e4c3e3e04dcf90017a94d33,/cv/,Chrome,79.0.3945.88,Blink,79.0.3945.88,Linux,x86_64,2020-02-18T19:42:54.779Z
5e4c3e4804dcf90017a94d34,/,Chrome,79.0.3945.88,Blink,79.0.3945.88,Linux,x86_64,2020-02-18T19:43:04.334Z
5e4c6d1e04dcf90017a94d41,/blog/complete-guide-to-making-web-pages/,Chrome,80.0.3987.95,WebKit,605.1.15,iOS,13.3,2020-02-18T23:02:54.864Z
